message_id,channel_name,image_path,detected_objects,image_category,object_count
26402,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26402.jpg,none,other,0
26403,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26403.jpg,bottle:0.27,product_display,1
26404,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26404.jpg,none,other,0
26405,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26405.jpg,none,other,0
26406,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26406.jpg,bottle:0.86,product_display,1
26407,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26407.jpg,none,other,0
26408,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26408.jpg,bottle:0.59,product_display,1
26409,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26409.jpg,none,other,0
26410,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26410.jpg,"fork:0.86, cup:0.49, knife:0.44",product_display,3
26411,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26411.jpg,none,other,0
26412,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26412.jpg,none,other,0
26413,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26413.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26414,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26414.jpg,none,other,0
26415,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26415.jpg,"sports ball:0.37, sports ball:0.30",other,2
26416,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26416.jpg,none,other,0
26417,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26417.jpg,bottle:0.25,product_display,1
26418,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26418.jpg,bottle:0.90,product_display,1
26419,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26419.jpg,"book:0.29, bottle:0.28, refrigerator:0.28, bottle:0.27",product_display,4
26420,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26420.jpg,refrigerator:0.38,other,1
26421,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26421.jpg,none,other,0
26423,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26423.jpg,none,other,0
26424,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26424.jpg,none,other,0
26425,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26425.jpg,none,other,0
26426,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26426.jpg,"bottle:0.38, cell phone:0.34, bottle:0.30",product_display,3
26427,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26427.jpg,none,other,0
26428,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26428.jpg,none,other,0
26429,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26429.jpg,bottle:0.29,product_display,1
26430,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26430.jpg,"refrigerator:0.44, book:0.25",other,2
26431,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26431.jpg,"bottle:0.79, bottle:0.56, bottle:0.38, bottle:0.37, bottle:0.36, bottle:0.34, bottle:0.30, bottle:0.30",product_display,8
26432,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26432.jpg,none,other,0
26433,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26433.jpg,none,other,0
26434,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26434.jpg,none,other,0
26435,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26435.jpg,bottle:0.33,product_display,1
26436,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26436.jpg,"orange:0.32, teddy bear:0.27",other,2
26437,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26437.jpg,none,other,0
26438,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26438.jpg,bottle:0.27,product_display,1
26439,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26439.jpg,bottle:0.86,product_display,1
26440,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26440.jpg,"cup:0.72, cup:0.39, book:0.29",product_display,3
